,year,Sint Maarten (Dutch part),Not classified,West Bank and Gaza,Serbia,Cambodia,United Arab Emirates,Cyprus,Lower middle income,Maldives,Low income,Peru,Early-demographic dividend,Fiji,Chad,Middle East & North Africa (excluding high income),Middle East & North Africa (IDA & IBRD countries),World,Saudi Arabia,Dominican Republic,Kenya,"Venezuela, RB",Canada,Guinea,Pakistan,Latvia,Denmark,"Hong Kong SAR, China",Nauru,Qatar,United States,Europe & Central Asia (IDA & IBRD countries),Brazil,Nigeria,"Yemen, Rep.",North Macedonia,Namibia,Rwanda,Least developed countries: UN classification,Central Europe and the Baltics,Cabo Verde,Brunei Darussalam,Philippines,Palau,Sri Lanka,Sao Tome and Principe,Haiti,Pacific island small states,China,Germany,St. Martin (French part),Faroe Islands,Norway,Small states,Ireland,Tanzania,Bhutan,Kosovo,Zambia,Europe & Central Asia (excluding high income),Isle of Man,Guatemala,Oman,Tunisia,Singapore,South Africa,Finland,Montenegro,Pre-demographic dividend,Bosnia and Herzegovina,Sierra Leone,Barbados,Middle East & North Africa,East Asia & Pacific (IDA & IBRD countries),Marshall Islands,San Marino,Syrian Arab Republic,Nicaragua,Poland,Fragile and conflict affected situations,Grenada,Slovenia,St. Vincent and the Grenadines,Mexico,Morocco,Angola,Samoa,Cameroon,Thailand,Vietnam,Solomon Islands,Japan,Niger,Senegal,Costa Rica,Albania,St. Lucia,Andorra,South Asia (IDA & IBRD),South Asia,South Sudan,Azerbaijan,East Asia & Pacific (excluding high income),Equatorial Guinea,Honduras,IDA & IBRD total,Burkina Faso,Jamaica,Dominica,Trinidad and Tobago,Channel Islands,Burundi,Liechtenstein,Afghanistan,Madagascar,Ethiopia,Paraguay,"Macao SAR, China",Belarus,British Virgin Islands,Bermuda,Mongolia,Other small states,High income,Luxembourg,Austria,Antigua and Barbuda,Portugal,Mali,Arab World,Bahrain,"Congo, Dem. Rep.",Colombia,Gibraltar,Australia,Chile,Suriname,United Kingdom,Moldova,Cuba,Somalia,Late-demographic dividend,Benin,IDA total,Tajikistan,Tonga,Kyrgyz Republic,"Congo, Rep.",Lebanon,Upper middle income,Estonia,Middle income,Comoros,Europe & Central Asia,Uruguay,Italy,Croatia,Caribbean small states,"Korea, Rep.",Lesotho,Malta,Mauritius,East Asia & Pacific,New Caledonia,Low & middle income,North America,Curacao,American Samoa,Indonesia,Iraq,Belize,Georgia,Timor-Leste,OECD members,Netherlands,Russian Federation,Latin America & Caribbean (excluding high income),Zimbabwe,Sudan,Guyana,"Korea, Dem. People’s Rep.",Ecuador,Post-demographic dividend,Djibouti,Monaco,Guam,Lithuania,Cayman Islands,Turkmenistan,Malaysia,"Egypt, Arab Rep.",Turks and Caicos Islands,Bangladesh,Gabon,Liberia,Cote d'Ivoire,Lao PDR,IDA blend,Aruba,IDA only,Panama,Eswatini,Sub-Saharan Africa,Sub-Saharan Africa (IDA & IBRD countries),Algeria,Guinea-Bissau,Armenia,Vanuatu,Tuvalu,Ukraine,Greece,Malawi,Mauritania,Belgium,Switzerland,Heavily indebted poor countries (HIPC),Czech Republic,Iceland,Latin America & the Caribbean (IDA & IBRD countries),New Zealand,Spain,Turkey,Latin America & Caribbean,Botswana,Nepal,Uzbekistan,European Union,Ghana,"Bahamas, The",Euro area,Hungary,India,IBRD only,Libya,Togo,"Iran, Islamic Rep.","Micronesia, Fed. Sts.",Kazakhstan,Sub-Saharan Africa (excluding high income),Israel,Seychelles,Central African Republic,Kuwait,France,Mozambique,Eritrea,Bulgaria,Jordan,Myanmar,Sweden,Puerto Rico,Kiribati,Papua New Guinea,Argentina,El Salvador,Virgin Islands (U.S.),Greenland,Uganda,"Gambia, The",Romania,Northern Mariana Islands,St. Kitts and Nevis,Bolivia,French Polynesia,Slovak Republic
41,2001,30600,,2997784,7503433,12405408,3302719,960276,2321544987,286306,450962074,26799285,2516715617,813925,8678051,284249018,281251234,6194460444,21202642,8598601,32848564,24646472,31020902,8417081,145978402,2337170,5358783,6714300,10215,615012,284968955,434598276,177196054,125394046,17918373,2042842,1823672,8231156,673903112,107660041,435709,340034,79672873,19386,18911730,144755,8608819,1984496,1271850000,82349925,29853,46997,4513751,29820335,3866243,34385856,603640,1701154,10692193,392050558,77703,11924946,2294962,9793903,4138012,45571274,5188008,607389,566366102,3755512,4754072,272500,321297208,1810261141,51422,27812,16766561,5145366,38248076,344736362,103249,1992060,107896,100298153,29126330,16945753,175392,15928910,63539196,80742499,423944,127149000,11751365,10036104,4034074,3060173,158179,67341,1416822959,1416822959,6447793,8111200,1833433229,631666,6751912,5138190545,11944587,2674702,69661,1271632,149097,6525545,33552,21606988,16260932,68159423,5428444,437938,9928549,20675,62504,2419588,21276743,1084888957,441525,8042293,77212,10362722,11271600,288432163,697545,48428545,40255967,31602,19413000,15516113,476579,59119673,3631462,11164667,9186725,2060587322,7076733,1110630422,6318513,98487,4945100,3217933,3991001,2337064426,1388115,4658609413,555888,863083216,3325473,56974100,4299642,6559096,47370164,2035740,393028,1196287,2065912076,217324,5109571487,316052361,129047,58494,214427417,24208180,255063,4014373,901214,1165497846,16046180,145976083,500140855,11923914,27971082,745206,23132980,12914667,1025423265,733015,32470,156401,3470818,43935,4564083,23709119,70152661,21573,130088702,1258003,2953927,16853026,5409582,374871731,92898,735758691,3089648,1013609,682956070,682956070,31451514,1227106,3050687,189219,9484,48683865,10862132,11432000,2702400,10286570,7229854,485112686,10216605,284968,512300865,3880500,40850412,64192243,528336554,1674678,24347106,24964450,489015301,19756928,302618,322547874,10187576,1075000085,4027560123,5443248,5062567,66449112,107173,14858335,682874868,6439000,81202,3722018,2103282,61357430,18221888,2374722,8009142,5217336,47225120,8895960,3818774,85849,5974629,37275652,5927006,108549,56350,24388968,1360074,22131970,58321,44599,8580235,244931,5378867
42,2002,30777,,3075373,7496522,12637727,3478777,976964,2361829370,294186,463584766,27100968,2560162782,815257,9019233,289264324,286188951,6273526441,21805313,8724975,33751739,25100408,31360079,8586074,149549700,2310173,5375931,6744100,10102,640868,287625193,434253516,179537520,128596076,18443691,2048928,1851523,8427060,691061397,106959751,442951,346782,81365258,19637,19062482,147447,8754150,2006078,1280400000,82488495,30910,47233,4538159,30250175,3931947,35334788,616018,1702310,10971698,391720978,78318,12208848,2334858,9871251,4175950,46150913,5200598,609828,582828705,3759387,4965766,273425,327362252,1826238744,52370,28175,17084632,5219328,38230364,353568055,103634,1994530,108097,101684758,29454768,17519417,176407,16357602,64069087,81534407,435432,127445000,12189983,10283699,4100925,3051010,159392,70049,1442644058,1442644058,6688226,8171950,1849617640,658384,6929265,5209873584,12293100,2692845,69837,1277213,149596,6704113,33879,22600770,16765117,70142091,5531962,448821,9865548,21129,62912,2443271,21639132,1092175508,446175,8081957,78295,10419631,11616887,294665185,735146,49871666,40875360,32102,19651400,15684409,482235,59370479,3623062,11199651,9501342,2074469505,7295394,1137502572,6426867,99022,4990700,3310387,4182205,2355936797,1379350,4717766167,569479,864648977,3326040,57059007,4302174,6604965,47644736,2029829,395969,1204621,2083186112,221490,5181350933,319048184,129205,59080,217357793,24931919,262378,3978515,922694,1173879536,16148929,145306046,507121489,11954290,28704778,744789,23339453,13143465,1030561714,746942,32806,157176,3443067,45351,4610005,24208391,71485043,23232,132478086,1288315,3024729,17231539,5493246,383578460,94992,753924112,3149188,1019059,701066167,701066167,31855109,1254453,3033978,193920,9596,48202500,10902022,11713664,2778099,10332785,7284753,499113575,10196916,287523,519482148,3948500,41431558,65145367,535570691,1704642,24725627,25271850,490252423,20246381,307660,324125336,10158608,1093317189,4072371012,5531089,5197031,67284796,107030,14858948,700982444,6570000,83723,3802128,2136997,61805267,18764155,2481058,7837161,5317506,47702171,8924958,3823701,87305,6098621,37681749,5962136,108510,56609,25167257,1404261,21730496,58420,45165,8742814,248972,5376912
43,2003,31472,,3154969,7480591,12856163,3711932,993563,2402147090,302683,476645372,27372226,2603385880,816076,9373916,294343628,291188659,6352677699,22456649,8850317,34678779,25551624,31644028,8753093,153093373,2287955,5390574,6730800,9994,681788,290107933,434390419,181809246,131900631,18985000,2053426,1879117,8557161,708587948,106624167,449930,353293,83051971,19809,19224037,150415,8900104,2027846,1288400000,82534176,32053,47432,4564855,30697311,3996521,36337782,627839,1703466,11256743,391882450,78884,12500478,2386166,9945277,4114826,46719196,5213014,612267,599938109,3762173,5201070,274329,333608779,1841560579,53456,28562,17415214,5292118,38204570,362707108,104005,1995733,108326,103081020,29782884,18121479,177484,16800865,64549866,82301656,447017,127718000,12647984,10541467,4164053,3039616,160530,73182,1468324422,1468324422,6935676,8234100,1865142700,686664,7106319,5281727972,12654621,2709437,70100,1283559,150068,6909154,34175,23680871,17279141,72170584,5632983,460165,9796749,21672,63325,2468762,22018494,1099365177,451630,8121423,79300,10458821,11982695,301113849,778708,51425580,41483869,32555,19895400,15849652,487942,59647577,3612874,11229183,9815412,2088020747,7520555,1164848022,6541547,99589,5043300,3406922,4388375,2374520060,1370720,4776667150,583211,866925884,3323668,57313203,4303399,6650971,47892330,2018348,398582,1213370,2099602439,225296,5253312522,321815286,131897,59504,220309469,25644499,269425,3951736,947108,1182206361,16225302,144648257,513985894,11982224,29460519,745143,23542426,13369678,1035711709,759641,33153,157717,3415213,46632,4655743,24698819,72826097,25011,134791603,1319953,3077058,17599610,5576640,392391532,97017,772456490,3209048,1022802,719716209,719716209,32264157,1283305,3017932,198959,9726,47812950,10928070,12000181,2857148,10376133,7339001,513601239,10193998,289521,526547684,4027200,42187645,66089402,542684680,1734398,25080872,25567650,492063516,20750299,313129,325885964,10129552,1111523144,4116879950,5620547,5330639,68122938,106901,14909018,719633428,6689700,82781,3881181,2161626,62244886,19331100,2600973,7775327,5434030,48148902,8958229,3826095,88835,6223377,38087868,5994077,108506,56765,25980552,1449925,21574326,57947,45746,8905823,252703,5373374
44,2004,32488,,3236626,7463157,13066469,4068570,1010408,2442531361,311265,490099969,27624213,2646598382,817860,9734767,299502774,296266148,6432374971,23132682,8974444,35635271,25996594,31940655,8925743,156664697,2263122,5404523,6783500,9902,753334,292805298,434730803,184006481,135320422,19540098,2057048,1907745,8680524,726331177,106331716,456617,359433,84710542,19867,19387153,153737,9047077,2050572,1296075000,82516260,33186,47600,4591910,31189626,4070262,37379767,638815,1704622,11550642,392243981,79520,12796925,2445517,10022277,4166664,47291610,5228172,613353,617518671,3764194,5433991,275284,340143481,1856486252,54476,28940,17827825,5364935,38182222,372022500,104347,1997012,108512,104514932,30115214,18758145,178590,17259322,64995299,83062821,458539,127761000,13125916,10810083,4225155,3026939,161816,76244,1493757846,1493757846,7213351,8306500,1880258797,716949,7282953,5353754291,13030569,2725015,70382,1290123,150716,7131693,34452,24726684,17802997,74239505,5730549,471597,9730146,22334,63740,2496391,22442101,1106953027,458095,8171966,80336,10483861,12369070,307862843,829844,53068880,42075955,32928,20127400,16014971,493679,59987905,3603945,11250365,10130243,2101455067,7750004,1192708741,6662389,100218,5104700,3510468,4569378,2392790614,1362550,4835321975,597228,869516666,3321476,57685327,4304600,6696953,48082519,2005940,401268,1221003,2115458616,228750,5325421944,324809693,134192,59681,223285676,26313838,276504,3927340,971893,1190571071,16281779,144067054,520757766,12019912,30214193,745737,23732731,13596388,1041075142,771603,33500,158101,3377075,47902,4703401,25190652,74172073,26700,136986432,1353795,3135651,17970494,5662208,401420450,98737,791288291,3269356,1026286,738983255,738983255,32692163,1313492,3000720,204127,9869,47451600,10955141,12301838,2939247,10421137,7389625,528444632,10197101,292074,533529987,4087500,42921895,67010930,549705414,1765527,25419344,25864350,494028141,21272323,318894,327682505,10107146,1129623456,4161045550,5710154,5467766,68951281,106625,15012985,738900780,6809000,82475,3959875,2200492,62704895,19910552,2719803,7716860,5580244,48564484,8993531,3826878,90499,6354245,38491972,6023797,108467,56911,26821297,1496527,21451748,57246,46324,9069039,255992,5372280
45,2005,33011,,3320396,7440769,13273354,4588225,1027662,2483021672,319608,503907174,27866145,2689939785,821604,10096633,304755503,301435107,6512602867,23816183,9097257,36624895,26432447,32243753,9109581,160304008,2238799,5419432,6813200,9849,865416,295516599,435134576,186127103,138865016,20107409,2060273,1938320,8840215,744190510,106041911,463032,365114,86326250,19781,19544988,157472,9195288,2074778,1303720000,82469422,34248,47722,4623291,31746604,4159914,38450320,648739,1705780,11856247,392658986,80305,13096028,2511251,10106771,4265762,47880601,5246096,614261,635451653,3765331,5645624,276323,347029874,1871341375,55258,29324,18361176,5438690,38165445,381419066,104661,2000474,108614,106005203,30455561,19433602,179727,17733410,65416189,83832661,469918,127773000,13624467,11090116,4285502,3011487,163417,78867,1518861552,1518861552,7535932,8391850,1895285323,749535,7458985,5426151241,13421930,2740003,70589,1296502,151678,7364862,34713,25654277,18336724,76346311,5824096,482858,9663915,23107,64154,2526424,22929109,1114743713,465158,8227829,81465,10503330,12775516,314965793,889164,54785903,42647723,33219,20394800,16182721,499464,60401206,3595187,11261582,10446863,2115014282,7982225,1221092640,6789321,100905,5162600,3622775,4698763,2410930308,1354775,4893951980,611627,872163396,3321803,57969484,4310145,6742717,48184561,1996114,403834,1228254,2131146832,232250,5397859154,327824506,137658,59562,226289470,26922284,283800,3902469,995135,1198888103,16319868,143518523,527455967,12076699,30949516,746163,23904167,13825847,1046366673,783254,33843,158402,3322528,49261,4754646,25690611,75523569,28180,139035505,1390549,3218116,18354514,5751676,410737369,100031,810355271,3330217,1030579,758924681,758924681,33149724,1344930,2981269,209282,10000,47105150,10987314,12625952,3024194,10478617,7437115,543555326,10211216,296734,540453950,4133900,43653155,67903469,556652026,1799078,25744500,26167000,495983155,21814642,324859,329380417,10087065,1147609927,4205058601,5798614,5611640,69762347,106129,15147029,758841823,6930100,82858,4038382,2270198,63179351,20493925,2826659,7658972,5765635,48949924,9029572,3821362,92325,6494903,38892931,6052123,108454,56935,27684585,1543741,21319685,56542,46857,9232306,258780,5372807
46,2006,33441,,3406334,7411569,13477709,5300174,1045507,2523645459,327487,518097437,28102056,2733462527,827870,10457124,310109412,306703078,6593623202,24498310,9218686,37649033,26850194,32571174,9307425,164022627,2218357,5437272,6857100,9828,1022711,298379912,435669295,188167356,142538308,20687646,2063131,1971317,9043337,762132501,105772481,469170,370263,87888675,19540,19695972,161681,9344785,2100869,1311020000,82376451,35237,47792,4660677,32375210,4273591,39548663,657410,1719536,12173514,393216869,81285,13397021,2580758,10201214,4401365,48489459,5266268,615025,653695022,3765424,5829237,277477,354302463,1885806859,55767,29700,19059258,5513763,38141267,390889972,104933,2006868,108603,107560153,30804683,20149901,180876,18223674,65812536,84617540,481078,127854000,14143971,11382268,4345412,2992547,165381,80993,1543610696,1543610696,7907406,8484550,1909901290,784496,7634298,5498679869,13829176,2754407,70718,1302561,153008,7607849,34970,26433049,18880269,78489206,5913209,493799,9604924,24023,64523,2558856,23486218,1123222521,472637,8268641,82704,10522288,13203378,322452754,958418,56578037,43200897,33417,20697900,16354504,505295,60846820,3585209,11261248,10763905,2128455973,8216897,1250062122,6922587,101706,5218400,3745141,4759753,2428657785,1346810,4952303244,626425,874862170,3325401,58143979,4311159,6788123,48438292,1989939,405308,1233996,2146744075,235750,5470400681,331015609,141239,59107,229318262,27448124,291329,3880347,1016432,1207587551,16346101,143049528,534080194,12155491,31661823,746343,24054864,14059384,1052054803,794563,34190,158648,3269909,50740,4810109,26201961,76873663,29391,140921167,1430152,3329211,18754916,5846074,420376591,100834,829685531,3391666,1036092,779566820,779566820,33641002,1377581,2958307,214370,10120,46787750,11020362,12973699,3111906,10547958,7483934,558909236,10238905,303782,547323121,4184600,44397319,68756810,563521369,1835908,26066693,26488250,497844869,22379055,331033,330922789,10071370,1165486291,4248617747,5886872,5762880,70554760,105371,15308084,779482220,7053700,84600,4118069,2373672,63621381,21080110,2918205,7601022,5991540,49301050,9080505,3805214,94343,6646895,39289878,6079399,108371,56774,28571475,1591445,21193760,55882,47339,9395446,261010,5373054
47,2007,33811,,3494496,7381579,13679962,6168838,1063713,2564440295,335169,532663586,28333052,2777145806,836190,10818024,315573347,312078851,6675130418,25184597,9338861,38705932,27247610,32889025,9518162,167808105,2200325,5461438,6916300,9842,1218434,301231207,436349814,190130443,146339977,21282515,2065426,2006514,9273757,780219542,105378748,475060,374965,89405482,19158,19842044,166300,9495328,2128664,1317885000,82266372,36137,47825,4709153,33066727,4398942,40681414,664876,1733404,12502958,393919037,82408,13700327,2657158,10304726,4588599,49119759,5288720,615875,672318833,3762786,5989633,278700,361929136,1899800530,56051,30063,19878254,5590055,38120560,400456806,105190,2018122,108518,109170502,31163673,20905363,182046,18730282,66182067,85419591,492132,128001000,14685399,11687080,4404628,2970017,167639,82684,1568003159,1568003159,8315139,8581300,1924028068,821687,7808518,5571274179,14252021,2768227,70795,1308451,154636,7862214,35217,27100536,19433530,80674348,5998427,504511,9560953,25047,64888,2593820,24104670,1132154767,479993,8295487,84026,10542964,13651464,330290716,1035919,58453683,43737516,33517,20827600,16530195,511181,61322463,3576910,11251122,11080121,2141610789,8454793,1279644403,7062672,102581,5268400,3876119,4767344,2445871770,1340680,5010312065,641620,878004122,3331749,58438310,4310217,6833393,48683638,1986922,406724,1239630,2161785573,239250,5542975651,334185120,144056,58365,232374245,27911248,299025,3860158,1036392,1216472640,16381696,142805088,540628539,12255922,32360621,746474,24188331,14296557,1057981926,805451,34525,158847,3231294,52280,4870141,26720370,78232126,30385,142660376,1472575,3461911,19171237,5944948,430363365,101222,849281038,3453675,1042652,800908534,800908534,34166972,1411543,2932618,219472,10221,46509350,11048473,13341806,3202517,10625700,7551117,574560260,10298828,311566,554133291,4223800,45226803,69581848,570314774,1875459,26382581,26868000,499790863,22963946,337389,332645165,10055780,1183209472,4291629776,5974787,5920359,71336475,104444,15484192,800823501,7180100,85033,4198010,2504019,64016225,21673316,2996536,7545338,6255280,49621475,9148092,3782995,96527,6808514,39684295,6105810,108339,56555,29486338,1639848,20882982,55219,47778,9558439,262721,5374622
48,2008,33964,,3591977,7350222,13883834,7089487,1081563,2605437640,343452,547481280,28562317,2820903724,845361,11183588,321168767,317576790,6757887172,25888541,9458075,39791981,27635832,33247118,9738792,171648986,2177322,5493621,6957800,9891,1436665,304093966,437427283,192030362,150269623,21892146,2067313,2043394,9524534,798563392,105001883,480842,379421,90901965,18704,19983984,171120,9646580,2157454,1324655000,82110097,36885,47820,4768212,33798838,4489544,41853944,671613,1747383,12848530,394991819,83508,14006428,2750963,10414433,4839396,49779471,5313399,616969,691447610,3754271,6133603,279946,369823252,1913718210,56174,30434,20664038,5667432,38125759,410146920,105456,2021316,108393,110815271,31536811,21695634,183263,19252666,66530984,86243413,503360,128063000,15250908,12004701,4463125,2947314,170011,83862,1592010819,1592010819,8736939,8763400,1938067140,860840,7980955,5644570358,14689725,2781876,70827,1314443,156433,8126102,35471,27722276,19996473,82916235,6081296,515239,9527985,26097,65273,2631898,24762406,1141674064,488650,8321496,85397,10558177,14113577,338395961,1114641,60411195,44254975,33559,21249200,16708258,517123,61806995,3570108,11236971,11397188,2154947270,8696921,1309778406,7209930,103379,5318700,4011486,4764741,2463294188,1337090,5068731828,657229,881531261,3340221,58826731,4309705,6878978,49054708,1987129,409379,1244121,2177119142,242750,5616213108,337406357,145880,57492,235469762,28385746,306823,3848449,1055431,1225804612,16445593,142742350,547116062,12379549,33060837,746817,24310142,14535739,1064394167,816358,34872,159036,3198231,53836,4935767,27236006,79636079,31202,144304167,1518540,3607860,19605569,6046620,440671619,101358,869106787,3516204,1049945,822945457,822945457,34730608,1446936,2907618,224704,10314,46258200,11077841,13727890,3296238,10709973,7647675,590590368,10384603,317414,560891799,4259800,45954106,70418604,577050884,1915639,26666576,27302800,501683669,23563825,343681,334274725,10038188,1200669765,4334791952,6058748,6083420,72120604,103543,15674000,822858501,7308800,86956,4273366,2656009,64374984,22276596,3062779,7492561,6556478,49929642,9219637,3760866,98761,6976201,40080160,6131764,108399,56328,30431736,1689285,20537875,54625,48185,9721454,264061,5379233
49,2009,34238,,3689099,7320807,14093604,7917372,1098083,2646675754,353398,562386040,28792655,2864614907,853637,11560147,326900984,323211885,6840591577,26630303,9576737,40901792,28031009,33628895,9964469,175525609,2141669,5523095,6972800,9939,1654950,306771529,439200178,193886508,154324933,22516460,2069039,2081044,9782770,817322629,104800475,486671,383906,92414158,18285,20123508,175876,9798046,2186314,1331260000,81902307,37377,47808,4828726,34529596,4535375,43073834,678323,1761474,13215139,396743394,84376,14316263,2876186,10525694,4987573,50477011,5338871,618294,711257522,3735938,6272734,281104,377883993,1927560609,56250,30816,21205873,5745526,38151603,419986678,105789,2039669,108287,112463887,31929087,22514281,184556,19789919,66866839,87092252,515181,128047000,15843133,12335084,4520740,2927519,172221,84463,1615610198,1615610198,9142259,8947243,1952027348,901599,8150775,5718843756,15141098,2795837,70851,1320930,158178,8397668,35727,28394813,20569117,85233913,6163972,526400,9506765,27039,65636,2673796,25417830,1150180708,497783,8343323,86746,10568247,14581429,346629220,1185076,62448574,44750054,33565,21691700,16886186,523111,62276270,3565604,11226709,11717692,2168543985,8944708,1340362567,7364753,103890,5383300,4145391,4813026,2481349075,1334515,5128024829,673252,885170595,3349676,59095365,4305181,6925452,49307835,1990131,412477,1247429,2192059415,245950,5690410869,340466060,146833,56683,238620563,28973162,314655,3814419,1074277,1234364086,16530388,142785342,553561029,12526968,33783788,747718,24428341,14774424,1069878383,827823,35226,159226,3162916,55322,5007954,27735040,81134798,31934,145924797,1568928,3754133,20059147,6148623,451237921,101455,889124646,3579215,1057467,845655214,845655214,35333881,1483921,2888092,230247,10424,46053300,11107017,14128155,3393409,10796493,7743831,607115564,10443936,318499,567605672,4302600,46362946,71321399,583746102,1953498,26883535,27767400,503194070,24170940,349604,335360890,10022650,1217726215,4378481189,6133984,6250835,72924837,102975,16092822,845567916,7485600,87298,4337625,2821045,64707040,22894710,3119920,7444443,6893260,50250367,9298515,3740410,100930,7144776,40482788,6157686,108405,56323,31411096,1740279,20367487,54193,48599,9884781,265254,5386406
50,2010,34056,,3786161,7291436,14312212,8549988,1112612,2688436551,365734,577274011,29027674,2908287643,859818,11952136,332777824,328991663,6922947261,27421461,9695121,42030676,28439940,34004889,10192176,179424641,2097555,5547683,7024200,10005,1856327,309326085,441121359,195713635,158503197,23154855,2070741,2118874,10039338,836614860,104421447,492654,388646,93966780,17955,20261737,180371,9949322,2214519,1337705000,81776930,37582,47814,4889252,35238667,4560155,44346525,685503,1775680,13605984,398783138,84857,14630417,3041434,10635244,5076732,51216964,5363352,619428,731868772,3705472,6415634,282131,385917886,1941377349,56366,31229,21362529,5824065,38042794,430002303,106233,2048583,108255,114092963,32343389,23356246,185949,20341241,67195028,87967651,527861,128070000,16464025,12678148,4577378,2913021,174085,84449,1638792934,1638792934,9508364,9054332,1965964309,943639,8317470,5793479782,15605217,2810460,70878,1328147,159734,8675602,35994,29185507,21151640,87639964,6248020,538219,9490583,27794,65124,2719896,26050942,1157826206,506953,8363404,88028,10573100,15049353,354890042,1240860,64563854,45222700,33585,22031750,17062536,529131,62766365,3562045,11225832,12043883,2181529363,9199259,1371628583,7527394,103986,5447900,4273731,4953061,2499410493,1331475,5187847044,689692,888627318,3359275,59277417,4295427,6973206,49554112,1995581,414508,1250400,2206884624,249750,5765121055,343396098,148703,56079,241834215,29741976,322464,3786695,1093523,1242309585,16615394,142849449,559867514,12697723,34545013,749436,24548836,15011117,1074869481,840198,35612,159444,3097282,56672,5087213,28208035,82761235,32660,147575430,1624140,3891356,20532950,6249165,462331503,101669,909297080,3642687,1064837,869025106,869025106,35977455,1522599,2877319,236211,10530,45870700,11121341,14539612,3494195,10895586,7824909,624219326,10474410,318041,574171371,4350700,46576897,72326988,590303295,1987105,27013212,28562400,504298777,24779619,354942,336151479,10000023,1234281170,4421851199,6197663,6421679,73762519,102911,16321872,868935336,7623600,89770,4386768,2991884,65027507,23531574,3170435,7395599,7261539,50600818,9378126,3721525,102927,7310507,40788453,6183875,108358,56905,32428167,1793196,20246871,53971,49016,10048590,266455,5391428
51,2011,33435,,3882986,7234099,14541423,8946777,1124833,2730385840,380495,592092182,29264318,2951856336,863449,12360989,338814807,334931821,7004011262,28267685,9813210,43178257,28888369,34339328,10420471,183340592,2059709,5570572,7071600,10057,2035871,311580009,443356614,197514534,162805071,23807588,2072487,2156701,10293331,856472234,104174038,498856,393688,95570047,17745,20398670,184524,10100320,2241798,1344130000,80274983,37446,47823,4953088,35912147,4580084,45673338,693298,1791000,14023193,401012737,84886,14948803,3251108,10741880,5183688,52004172,5388272,620079,753326798,3661175,6563240,282987,393944527,1955334267,56531,31661,21082966,5903039,38063255,440218679,106796,2052843,108316,115695473,32781850,24220661,187469,20906388,67518382,88871561,541521,127833000,17114761,13033809,4633086,2905195,175544,83747,1661534412,1661534412,9830698,9173082,1980045666,986853,8480671,5869059895,16081911,2825929,70916,1336178,160998,8958406,36293,30117413,21743967,90139927,6333976,550832,9473172,28319,64564,2770362,26647962,1163335501,518347,8391643,89253,10557560,15514591,363158703,1278151,66755153,45663099,33612,22340024,17233576,535179,63258918,3559986,11236670,12376302,2194530619,9460830,1403206552,7697510,103562,5514600,4394844,5202343,2518197739,1327439,5248583579,706569,890862941,3368934,59379449,4280622,7022387,49936638,2003787,416268,1252404,2221673110,254350,5840675761,345983901,150831,55759,245116206,30725300,330237,3756441,1113151,1248424526,16693074,142960868,566309408,12894316,35349681,752028,24673385,15243883,1077838624,853674,36024,159692,3028115,57878,5174085,28650955,84529250,33377,149273778,1684635,4017443,21028655,6347567,473598444,102046,929608108,3706483,1072032,893046172,893046172,36661444,1562989,2876538,242653,10633,45706100,11104899,14962112,3598648,11038264,7912398,641921311,10496088,319014,580856609,4384000,46742697,73443863,596966199,2015402,27041437,29339400,504005894,25387710,359577,335419643,9971727,1250288729,4465853343,6247439,6595943,74634956,103450,16557201,892958731,7765800,87441,4418636,3168060,65342780,24187487,3213972,7348328,7663131,50990615,9449213,3678732,104728,7472200,41261490,6210568,108292,56890,33476919,1848147,20147528,54012,49447,10212954,267698,5398384
